YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2M_MAX,T2M_MIN,TS,WS10M,WD10M,WS50M,WD50M,PS,PRECTOTCORR,RH2M
1983,3,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.08,2.05,14.66,5.15,9.33,7.05,298.69,9.89,298.62,96.91,0.23,66.0
1983,3,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.63,2.02,14.05,2.96,8.12,5.89,285.69,8.34,285.5,97.48,0.55,70.12
1983,3,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.26,1.44,16.15,2.06,8.8,3.87,186.0,5.42,185.31,98.01,0.07,67.75
1983,3,5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.76,1.75,17.9,1.8,9.76,2.42,214.19,3.74,223.38,98.08,0.14,68.0
1983,3,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.34,2.4,18.58,3.37,11.24,2.52,196.19,3.8,198.69,97.82,0.0,64.31
1983,3,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.63,5.2,15.4,6.41,11.35,1.52,123.62,2.01,125.75,97.88,0.53,71.75
1983,3,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.09,4.09,18.48,4.62,11.57,2.01,138.0,2.79,135.56,97.98,0.0,65.69
1983,3,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.3,2.98,20.9,4.51,12.41,2.14,212.88,3.11,213.12,97.9,0.0,59.19
1983,3,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.09,1.23,24.7,7.24,15.19,2.57,254.25,4.35,258.38,97.44,0.0,43.06
1983,3,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.19,3.29,21.1,8.49,14.67,4.91,261.06,7.56,260.5,96.98,0.13,50.25
1983,3,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.97,5.9,19.39,6.84,12.55,5.26,274.69,7.74,274.38,97.25,0.06,70.75
1983,3,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.26,4.62,21.3,5.62,13.5,2.93,191.56,4.54,203.69,97.73,0.0,67.38
1983,3,14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.77,5.98,22.53,7.05,13.94,2.59,224.75,3.84,227.56,97.65,0.08,64.56
1983,3,15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.65,3.35,24.8,11.17,16.87,5.32,233.75,8.03,234.81,96.78,0.06,44.88
1983,3,16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.54,2.72,17.58,6.45,12.19,4.48,259.19,5.95,258.81,96.55,0.82,58.5
1983,3,17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.31,1.65,15.57,3.08,9.56,4.31,290.06,6.01,290.38,96.95,3.88,62.06
1983,3,18,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.33,4.37,16.33,5.85,10.76,6.43,311.62,9.26,341.81,97.26,0.99,69.69
1983,3,19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.65,4.89,19.71,5.58,12.35,4.23,252.25,6.27,266.44,97.57,0.38,68.5
