Year,Month,Day,Temperature_2m,Dew_Point_Temperature_2m,Max_Temperature_2m,Min_Temperature_2m,Surface_Temperature,Wind_Speed_10m,Wind_Direction_10m,Wind_Speed_50m,Wind_Direction_50m,Surface_Pressure,Corrected_Precipitation,Relative_Humidity_2m
1983,6,22,23.42,12.48,30.0,16.3,26.03,3.12,72.5,4.2,70.5,96.99,3.18,54.88
1983,6,23,23.63,13.15,30.44,16.23,24.54,1.93,200.94,2.89,203.5,96.86,17.4,54.56
1983,6,24,24.49,9.65,31.22,18.17,25.41,3.42,147.06,4.63,147.19,96.95,2.53,42.69
1983,6,25,24.58,12.05,32.48,17.17,26.14,4.44,70.44,5.98,70.38,97.09,0.0,48.5
1983,6,26,25.44,12.8,34.19,17.41,27.05,3.84,88.88,5.1,89.44,97.01,0.01,50.12
1983,6,27,26.7,15.52,37.11,18.0,28.34,4.16,109.06,5.71,111.75,96.44,0.0,57.44
1983,6,28,24.76,14.37,32.18,18.48,26.39,7.1,292.62,8.67,291.75,96.41,3.55,54.88
1983,6,29,23.44,11.0,30.28,17.33,25.78,4.96,259.62,6.37,258.62,96.81,0.0,49.06
1983,6,30,25.47,11.15,34.26,16.5,27.86,2.2,203.44,3.08,208.06,96.92,0.0,44.44
1983,7,1,27.65,13.81,36.77,19.55,29.55,2.1,169.69,2.8,174.38,96.98,0.13,46.06
1983,7,2,27.12,11.41,35.11,19.62,29.4,3.27,34.12,4.66,32.0,97.04,0.0,41.81
1983,7,3,25.23,9.63,33.32,18.14,27.26,2.15,98.81,2.85,95.56,96.97,0.0,40.75
1983,7,4,26.25,11.12,35.06,19.14,27.69,2.88,188.12,3.95,191.19,96.86,0.15,41.94
1983,7,5,25.95,12.87,31.83,21.02,26.64,2.76,177.44,3.54,177.81,97.05,0.01,46.56
1983,7,6,28.32,12.46,37.26,20.08,30.0,3.85,170.38,5.49,171.94,96.95,0.01,43.56
1983,7,7,29.86,11.52,40.4,20.72,30.98,3.61,180.5,4.95,181.81,96.66,0.0,38.81
1983,7,8,27.65,12.62,34.8,20.58,30.02,4.61,55.12,5.89,53.69,96.68,0.0,42.81
1983,7,9,28.0,10.66,37.06,19.77,30.94,2.62,58.31,3.89,52.44,96.75,0.0,37.88
1983,7,10,26.98,12.55,35.02,18.96,29.69,3.06,71.94,4.09,69.69,96.88,0.0,45.38
1983,7,11,27.62,12.07,35.37,20.45,30.38,2.71,86.31,3.59,85.0,96.89,0.0,42.06
1983,7,12,29.3,12.22,36.76,22.61,31.36,2.25,165.06,2.75,167.62,96.82,0.0,37.38
1983,7,13,28.43,10.43,35.88,21.31,30.89,3.39,35.31,4.97,33.44,96.86,0.0,36.06
1983,7,14,28.79,10.19,36.64,20.4,30.9,3.15,201.81,4.4,200.12,96.73,0.0,35.12
1983,7,15,28.87,11.44,35.65,21.96,31.15,2.62,121.31,3.71,147.12,96.57,1.58,36.19
1983,7,16,26.35,10.85,32.57,19.55,29.32,3.7,63.0,5.04,60.38,96.84,0.0,41.94
1983,7,17,27.37,10.44,35.27,19.97,30.29,2.21,161.81,2.81,164.25,97.04,0.0,38.12
1983,7,18,27.08,12.36,35.51,19.2,30.2,2.32,118.88,3.12,118.5,97.22,0.0,45.44
1983,7,19,27.98,9.5,35.7,21.15,29.98,3.05,126.81,4.03,125.56,97.32,0.0,35.69
1983,7,20,28.25,9.79,36.15,20.15,30.5,3.28,121.25,4.66,120.44,97.23,0.0,35.0
1983,7,21,30.6,7.47,39.59,21.69,32.59,2.62,153.06,3.86,152.25,97.03,0.0,27.75
1983,7,22,31.9,7.22,40.63,22.97,33.15,2.99,179.19,4.06,163.94,96.97,0.0,24.44
1983,7,23,33.5,5.05,41.65,26.08,34.62,2.74,192.44,3.95,191.31,96.86,0.0,19.31
1983,7,24,33.05,4.82,41.3,25.93,34.33,3.61,195.12,5.19,194.38,96.8,0.0,19.5
1983,7,25,31.97,5.32,40.5,23.83,33.04,4.56,168.88,6.3,168.5,96.77,0.0,22.06
1983,7,26,31.61,3.79,39.54,25.23,31.98,3.46,144.25,4.51,142.12,96.9,0.0,19.62
1983,7,27,31.48,3.18,39.56,23.74,31.83,2.88,171.62,3.61,169.94,97.06,0.0,19.62
1983,7,28,32.13,6.06,40.01,25.44,32.98,2.52,149.69,3.32,136.12,97.18,0.0,22.38
1983,7,29,32.62,7.2,40.31,25.84,33.98,2.71,185.75,3.55,184.5,97.07,0.0,23.0
1983,7,30,33.53,4.62,41.51,24.96,35.31,2.05,212.19,2.82,208.44,96.79,0.0,18.69
1983,7,31,32.73,6.8,42.26,24.07,35.04,3.39,86.81,4.21,85.0,96.69,0.0,24.44
1983,8,1,29.56,15.51,38.26,21.51,32.44,3.52,143.25,4.17,145.19,96.73,0.0,49.62
1983,8,2,30.3,16.21,39.18,22.36,33.05,3.02,152.19,3.75,153.75,96.69,0.12,49.06
1983,8,3,31.07,13.91,38.82,24.32,33.73,3.11,114.75,3.79,112.94,96.85,0.03,40.31
1983,8,4,28.39,14.37,34.63,22.77,31.51,3.9,68.56,4.84,66.88,97.08,2.03,44.62
1983,8,5,28.03,15.86,35.23,21.68,30.63,2.5,154.44,3.18,158.75,96.86,3.7,50.0
1983,8,6,27.9,16.33,34.64,21.87,30.55,2.95,53.06,4.1,49.75,96.77,1.77,52.31
1983,8,7,27.12,12.62,34.29,20.25,29.48,2.85,109.0,3.8,109.56,96.83,0.08,43.62
1983,8,8,27.17,15.98,35.0,20.69,28.92,3.61,135.94,4.79,136.44,96.86,0.01,54.31
1983,8,9,28.68,17.67,37.01,20.99,30.65,3.48,95.88,4.7,97.44,96.84,0.0,56.38
1983,8,10,28.65,17.37,35.8,22.44,30.74,5.45,55.81,6.66,55.06,96.83,0.95,53.94
1983,8,11,29.23,15.68,36.77,22.42,32.28,2.27,92.25,3.2,96.75,96.62,0.11,47.5
1983,8,12,28.1,11.27,35.72,21.15,31.12,1.7,111.12,2.55,116.0,96.57,0.03,38.56
1983,8,13,27.26,10.3,34.92,19.58,30.44,3.24,181.56,4.74,193.0,96.79,0.0,39.38
